Typ,Kauf,Kcur,Verkauf,Vcur,Gebuhr,Gcur,Datum,Index,Trade Gruppe,Kommentar,Trade ID
Trade,0.99000000,BTC,97.51000000,EUR,0.00500000,BTC,29.05.2013 15:30,48,,,65B92D
Auszahlung,0.0,,0.00014500,BTC,0.0,,15.12.2013 21:07,49,,,126jQwnyroex7j95pa2g5qpmvNuPdgwcqM0.078e074dcb01bc2c70196699656e6b88a9d7cd4c284c5d8b99a87e7493ac57b4a
Auszahlung,0.0,,0.59085500,BTC,0.0,,16.12.2013 01:28,50,,,126jQwnyroex7j95pa2g5qpmvNuPdgwcqM0.0e2106f5531b7bd4470150cb44f084734de89820f08eb0d12bac88f5dcbaf2ebf
Einzahlung,36.66570000,BTC,0.0,,0.0,,04.10.2014 17:16,51,,,1MdApEh4M2UqQQzEXA8F5YMXwTB7LFUtGC0.0aaf92c0a98bfc4d73d5951724c90e98c2f3d35d374605f7ae546ce08914f4a0d
Auszahlung,0.0,,37.00000000,BTC,0.00010000,BTC,04.10.2014 17:16,52,,,1Nsy1bxMvdXhv5b6YG4xMiuEbtABhkEx1T0.0aaf92c0a98bfc4d73d5951724c90e98c2f3d35d374605f7ae546ce08914f4a0d
Auszahlung,0.0,,1.00057242,BTC,0.0,,06.11.2014 09:49,53,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.052da604dcb18256bc6834b9f359f7e33612ce4c05f327d100ed2b61cc159ca20
Auszahlung,0.0,,36.66570000,BTC,0.0,,07.05.2015 23:07,54,,,1MdApEh4M2UqQQzEXA8F5YMXwTB7LFUtGC0.01ba127bcb1a2716863cb5666a0526e10a8eae23f036ea14c01423da424809503
Einzahlung,36.60270000,BTC,0.0,,0.0,,07.05.2015 23:07,55,,,19mSBDevr5z12jLB5aMYNiuyW8CuS9mzzo0.01ba127bcb1a2716863cb5666a0526e10a8eae23f036ea14c01423da424809503
Trade,206.86000000,EUR,0.99000000,BTC,0.00495000,BTC,09.05.2015 11:58,56,,,3SPRND
Einzahlung,0.00010000,BTC,0.0,,0.0,,31.08.2015 16:36,57,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0081623f751032c6b46d22f2a4dc3fa2f2ae5ffbc5c9eeb8ca2cd68581f21bfee
Einzahlung,33.60243217,BTC,0.0,,0.0,,15.11.2015 08:47,58,,,15HgKpMFCo5wy6YD11FvjhnUwAH9mWdvki0.0c2d16d4de64063b9c688bc1d9a24286a2172fb446f7ced46e428bb88e6d996ba
Auszahlung,0.0,,36.60270000,BTC,0.0,,15.11.2015 08:47,59,,,19mSBDevr5z12jLB5aMYNiuyW8CuS9mzzo0.0c2d16d4de64063b9c688bc1d9a24286a2172fb446f7ced46e428bb88e6d996ba
Auszahlung,0.0,,33.60243217,BTC,0.0,,15.11.2015 09:07,60,,,15HgKpMFCo5wy6YD11FvjhnUwAH9mWdvki0.00b59e2d3787c9d22e011c1ec894036ca457e3bddaccfacd42c869af515e2f07a
Auszahlung,0.0,,29.72925741,BTC,0.0,,15.11.2015 09:07,61,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.00b59e2d3787c9d22e011c1ec894036ca457e3bddaccfacd42c869af515e2f07a
Einzahlung,65.83485736,BTC,0.0,,0.0,,15.11.2015 09:07,62,,,3FWD944cAYn2Tv6es8wQg9iQmxeyiQKi240.00b59e2d3787c9d22e011c1ec894036ca457e3bddaccfacd42c869af515e2f07a
Einzahlung,3.00000000,BTC,0.0,,0.0,,15.11.2015 09:46,63,,,c2d16d4de64063b9c688bc1d9a24286a2172fb446f7ced46e428bb88e6d996ba
Trade,591.41287950,ETH,1.59705181,BTC,1.18519615,ETH,15.11.2015 10:04,64,Exchange,,12072536
Trade,3.37682358,ETH,0.00911870,BTC,0.00676718,ETH,15.11.2015 10:04,65,Exchange,,12072535
Trade,3.29699593,ETH,0.00890314,BTC,0.00660721,ETH,15.11.2015 10:04,66,Exchange,,12072534
Trade,2.19494678,ETH,0.00592717,BTC,0.00439869,ETH,15.11.2015 10:04,67,Exchange,,12072533
Trade,4.93905210,ETH,0.01332222,BTC,0.00989790,ETH,15.11.2015 10:04,68,Exchange,,12072532
Trade,1.05248424,ETH,0.00283817,BTC,0.00210919,ETH,15.11.2015 10:04,69,Exchange,,12072531
Trade,4.59816956,ETH,0.01239893,BTC,0.00921477,ETH,15.11.2015 10:04,70,Exchange,,12072530
Trade,0.44697458,ETH,0.00120483,BTC,0.00089574,ETH,15.11.2015 10:04,71,Exchange,,12072529
Trade,207.80075424,ETH,0.56010423,BTC,0.41643438,ETH,15.11.2015 10:04,72,Exchange,,12072528
Trade,70.45706238,ETH,0.18990931,BTC,0.14119652,ETH,15.11.2015 10:04,73,Exchange,,12072527
Trade,200.57993675,ETH,0.54063930,BTC,0.40196380,ETH,15.11.2015 10:04,74,Exchange,,12072526
Trade,12.63633850,ETH,0.03394806,BTC,0.02532332,ETH,15.11.2015 10:04,75,Exchange,,12072525
Trade,4.08946822,ETH,0.01098095,BTC,0.00819533,ETH,15.11.2015 10:04,76,Exchange,,12072524
Trade,4.06431029,ETH,0.01087712,BTC,0.00814491,ETH,15.11.2015 10:04,77,Exchange,,12072523
Auszahlung,0.0,,1110.94619671,ETH,0.0,,15.11.2015 10:10,78,,,7842370.0ca915343a7b0c7078b19619310177b456b63e737
Einzahlung,1110.93619671,ETH,0.0,,0.0,,15.11.2015 10:12,79,,,0xCA915343a7B0c7078B19619310177b456b63e7370.00x9e635de52676b20cb00d84508e17ed6f6debf454ea5b0222332bbab1bccf1dda
Auszahlung,0.0,,65.83485736,BTC,0.0,,15.01.2016 15:41,80,,,3FWD944cAYn2Tv6es8wQg9iQmxeyiQKi240.04dbb3833ee7425f8b25a40e49472b17663c0d650ef0f94ed2b582461c8650638
Einzahlung,50.83249236,BTC,0.0,,0.0,,15.01.2016 15:41,81,,,3NXzeTfQR6MMpYRv8bDWd2K7cRGK14wbZP0.04dbb3833ee7425f8b25a40e49472b17663c0d650ef0f94ed2b582461c8650638
Einzahlung,15.00000000,BTC,0.0,,0.0,,15.01.2016 15:42,82,,,4dbb3833ee7425f8b25a40e49472b17663c0d650ef0f94ed2b582461c8650638
Trade,6.96644818,DASH,0.06477659,BTC,0.01396082,DASH,15.01.2016 17:04,83,Exchange,,13636184
Trade,90.14579532,DASH,0.83246841,BTC,0.18065290,DASH,15.01.2016 17:04,84,Exchange,,13636183
Trade,430.13800000,DASH,3.94882631,BTC,0.86200000,DASH,15.01.2016 17:04,85,Exchange,,13636182
Trade,75.84800000,DASH,0.70759724,BTC,0.15200000,DASH,15.01.2016 17:04,86,Exchange,,13636197
Trade,0.49900000,DASH,0.00465006,BTC,0.00100000,DASH,15.01.2016 17:04,87,Exchange,,13636196
Trade,0.01907655,DASH,0.00017776,BTC,0.00003823,DASH,15.01.2016 17:04,88,Exchange,,13636195
Trade,68.29909661,DASH,0.63645450,BTC,0.13687194,DASH,15.01.2016 17:04,89,Exchange,,13636194
Trade,167.08854338,DASH,1.55536329,BTC,0.33484678,DASH,15.01.2016 17:04,90,Exchange,,13636193
